CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,FIRST_NAME,GENDER_TOTAL_COUNT,GENDER_TOTAL_PERCENTAGE,GENDER_TOTAL_RANK,MEN+_COUNT,MEN+_PERCENTAGE,MEN+_RANK,MEN+_SYMBOL,WOMEN+_COUNT,WOMEN+_PERCENTAGE,WOMEN+_RANK,WOMEN+_SYMBOL
2021,"2021A000011124","01","Country","Canada","GARFIELD",1040,0.0035,3291,1030,0.0069,1499,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GARIMA",310,0.001,8181,,,,"...",310,0.0021,4548,""
2021,"2021A000011124","01","Country","Canada","GARLAND",410,0.0014,6724,355,0.0024,3358,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GARNET",2025,0.0068,2003,1945,0.0131,899,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GARNETT",345,0.0012,7586,295,0.002,3883,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GARRET",1105,0.0037,3135,1080,0.0073,1440,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GARRETT",4900,0.0164,1040,4820,0.0324,473,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GARRICK",325,0.0011,7901,305,0.0021,3775,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GARRY",10885,0.0365,579,10815,0.0727,274,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GARTH",3730,0.0125,1293,3685,0.0248,580,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GARVIN",275,0.0009,8885,260,0.0017,4270,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GARY",46995,0.1577,96,46840,0.3151,52,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GASPARD",360,0.0012,7358,350,0.0024,3390,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GASTON",7245,0.0243,783,7145,0.0481,374,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GAURAV",1725,0.0058,2274,1715,0.0115,981,"",,,,"..."
2021,"2021A000011124","01","Country","Canada","GAURI",295,0.001,8460,,,,"...",285,0.0019,4835,""
2021,"2021A000011124","01","Country","Canada","GAUTAM",575,0.0019,5270,530,0.0036,2525,"",,,,"..."
